route,scale_knob,label,seed,n_params,n_learnable_params,embed_dim,n_heads,n_gen,gauge_group,n_layers,n_e_steps,family,tokens_seen,est_flops_6ND,est_flops_analytic,active_params_per_token,test_ce,test_ppl,test_bpc,estep_final_f_per_token,best_val_ppl,wall_time_s,data_sha256,git_sha
grow_K_GL10,embed_dim,K100_GL10,23,75564058,75564058,100,10,1000,block_glk,1,1,gaussian_diagonal,491520000,222847474728960000,4965629952000000.0,25129700,4.349732287340325,77.45772373607925,1.3761032293379325,38.84632110595703,76.29296885152279,20985.918884600003,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,7b0f208ca422e1a530db2c20b5fd8af326e79bf9
grow_K_GL10,embed_dim,K100_GL10,6,75564058,75564058,100,10,1000,block_glk,1,1,gaussian_diagonal,491520000,222847474728960000,4965629952000000.0,25129700,4.33938421957137,76.66031887705275,1.3728294624636557,38.961082458496094,75.09510680829793,21458.0575748,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,65e11208bdb2d18ada41d9001ba158dc1ea1ea22
grow_K_GL10,embed_dim,K100_GL10,64,75564058,75564058,100,10,1000,block_glk,1,1,gaussian_diagonal,491520000,222847474728960000,4965629952000000.0,25129700,4.344657917753957,77.06567017212014,1.3744978762004583,39.72926330566406,75.64026759204775,21028.6147599,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,7b0f208ca422e1a530db2c20b5fd8af326e79bf9
grow_K_GL10,embed_dim,K10_GL10,23,7601628,7601628,10,1,100,block_glk,1,1,gaussian_diagonal,491520000,22418113167360000,507887616000000.0,2512970,5.390152720760831,219.23686501821263,1.7052558814370273,10.490083694458008,221.68729163140327,7060.5928855999955,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K10_GL10,6,7601628,7601628,10,1,100,block_glk,1,1,gaussian_diagonal,491520000,22418113167360000,507887616000000.0,2512970,5.394590816994009,220.21202164187963,1.7066599399296303,10.574651718139648,222.72010226419903,7064.845414700016,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K10_GL10,64,7601628,7601628,10,1,100,block_glk,1,1,gaussian_diagonal,491520000,22418113167360000,507887616000000.0,2512970,5.382623002824039,217.5922726916815,1.7028737419203082,10.395515441894531,219.55624584535286,7057.936872399994,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,2145b25866b101f83449ff22b7e438a0b53d1a8e
grow_K_GL10,embed_dim,K110_GL10,23,83115449,83115449,110,11,1100,block_glk,1,1,gaussian_diagonal,491520000,245117432954880000,5460934656000000.0,27642670,4.329143223399063,75.87924714758587,1.3695895692993418,40.4696044921875,74.23663136920545,24215.2229579,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,7de76c6ce60c0ed24dadbd18be9e98bf306d86e4
grow_K_GL10,embed_dim,K110_GL10,6,83115449,83115449,110,11,1100,block_glk,1,1,gaussian_diagonal,491520000,245117432954880000,5460934656000000.0,27642670,4.316014966263938,74.8895952957329,1.3654362477048605,41.68975830078125,73.59679131663675,24329.332149699992,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,ea1a94747bf5d585c647265cabffd64d472d0e7b
grow_K_GL10,embed_dim,K110_GL10,64,83115449,83115449,110,11,1100,block_glk,1,1,gaussian_diagonal,491520000,245117432954880000,5460934656000000.0,27642670,4.329965225804728,75.94164571365347,1.3698496221233405,42.153587341308594,74.41516699415519,24291.8391939,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,7de76c6ce60c0ed24dadbd18be9e98bf306d86e4
grow_K_GL10,embed_dim,K120_GL10,23,90666842,90666842,120,12,1200,block_glk,1,1,gaussian_diagonal,491520000,267387397079040000,5956239360000000.0,30155640,4.30661128808896,74.18865850020413,1.3624612526823152,43.606727600097656,72.60937197514482,27542.966894,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,a6c82abd8f7b69c633affba0b28387b08493f4d9
grow_K_GL10,embed_dim,K120_GL10,6,90666842,90666842,120,12,1200,block_glk,1,1,gaussian_diagonal,491520000,267387397079040000,5956239360000000.0,30155640,4.308869239349226,74.35636213723052,1.3631755895232245,45.39977264404297,72.93042171214434,27530.014854299996,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,a6c82abd8f7b69c633affba0b28387b08493f4d9
grow_K_GL10,embed_dim,K120_GL10,64,90666842,90666842,120,12,1200,block_glk,1,1,gaussian_diagonal,491520000,267387397079040000,5956239360000000.0,30155640,4.301383811988988,73.80185095544422,1.3608074619965307,43.772499084472656,72.66842793179404,27499.818144,d2a72d019f850fc7dbcb080944a8c251b7670fecb385ae853fac4809e178ae6d,a6c82abd8f7b69c633affba0b28387b08493f4d9
